code,group_path,name,has_link
PRCG20_2600350016,総平均>金属・同製品>非鉄金属>その他の非鉄金属地金,すず地金,True
PRCG20_2600350017,総平均>金属・同製品>非鉄金属>その他の非鉄金属地金,ニッケル地金,True
PRCG20_2600350018,総平均>金属・同製品>非鉄金属>その他の非鉄金属地金,シリコン,True
PRCG20_2600350019,総平均>金属・同製品>非鉄金属>電線・ケーブル,電線・ケーブル,True
PRCG20_2600350020,総平均>金属・同製品>金属製品>ボルト・ナット・リベット・スプリング,ボルト・ナット,True
PRCG20_2600350021,総平均>金属・同製品>金属製品>配管工事附属品・粉末や金製品・道具類,刃物・道具類,True
PRCG20_2600350022,総平均>金属・同製品>金属製品>配管工事附属品・粉末や金製品・道具類,金属製管継手,True
PRCG20_2600350023,総平均>金属・同製品>金属製品>その他の金属製品,錠・かぎ・建築用金物,True
PRCG20_2600350024,総平均>金属・同製品>鉄鉱石・非鉄金属鉱物>鉄鉱石・非鉄金属鉱物,鉄鉱石,True
PRCG20_2600350025,総平均>金属・同製品>鉄鉱石・非鉄金属鉱物>鉄鉱石・非鉄金属鉱物,銅鉱,True
PRCG20_2600350026,総平均>金属・同製品>鉄鉱石・非鉄金属鉱物>鉄鉱石・非鉄金属鉱物,亜鉛鉱,True
PRCG20_2600350027,総平均>金属・同製品>鉄鉱石・非鉄金属鉱物>鉄鉱石・非鉄金属鉱物,モリブデン鉱,True
PRCG20_2600350028,総平均>金属・同製品>非鉄金属屑>非鉄金属屑,白金・銅屑,False
PRCG20_2600450001,総平均>木材・木製品・林産物>木材・木製品>製材,製材,True
PRCG20_2600450002,総平均>木材・木製品・林産物>木材・木製品>合板・集成材,合板,True
PRCG20_2600450003,総平均>木材・木製品・林産物>木材・木製品>合板・集成材,集成材,True
PRCG20_2600450004,総平均>木材・木製品・林産物>木材・木製品>木材チップ,木材チップ,True
PRCG20_2600450005,総平均>木材・木製品・林産物>木材・木製品>その他の木製品,繊維板,True
PRCG20_2600450006,総平均>木材・木製品・林産物>林産物>素材,丸太,True
PRCG20_2600550001,総平均>石油・石炭・天然ガス>石油・石炭製品>石油製品,ガソリン,True
PRCG20_2600550002,総平均>石油・石炭・天然ガス>石油・石炭製品>石油製品,ナフサ,True
PRCG20_2600550003,総平均>石油・石炭・天然ガス>石油・石炭製品>石油製品,ジェット燃料油,True
PRCG20_2600550004,総平均>石油・石炭・天然ガス>石油・石炭製品>石油製品,灯油,True
PRCG20_2600550005,総平均>石油・石炭・天然ガス>石油・石炭製品>石油製品,Ｂ重油・Ｃ重油,True
PRCG20_2600550006,総平均>石油・石炭・天然ガス>石油・石炭製品>石油製品,液化石油ガス,True
PRCG20_2600550007,総平均>石油・石炭・天然ガス>石油・石炭製品>石油製品,石油コークス,True
PRCG20_2600550008,総平均>石油・石炭・天然ガス>石炭・原油・天然ガス>石炭・原油・天然ガス,原料炭,True
PRCG20_2600550009,総平均>石油・石炭・天然ガス>石炭・原油・天然ガス>石炭・原油・天然ガス,一般炭,True
