month,usdjpy
201801,110.74
201802,107.9
201803,106.01
201804,107.49
201805,109.74
201806,110.02
201807,111.41
201808,111.06
201809,111.91
201810,112.81
201811,113.36
201812,112.38
201901,108.97
201902,110.36
201903,111.22
201904,111.63
201905,109.76
201906,108.07
201907,108.23
201908,106.34
201909,107.4
201910,108.12
201911,108.88
201912,109.18
202001,109.38
202002,109.96
202003,107.42
202004,107.85
202005,107.28
202006,107.6
202007,106.75
202008,106.02
202009,105.67
202010,105.21
202011,104.4
202012,103.83
202101,103.7
202102,105.38
202103,108.7
202104,109.1
202105,109.13
202106,110.09
202107,110.26
202108,109.82
202109,110.2
202110,113.09
202111,114.03
202112,113.88
202201,114.84
202202,115.16
202203,118.54
202204,126.13
202205,128.68
202206,133.85
202207,136.7
202208,135.28
202209,143.09
202210,147.16
202211,142.17
202212,134.85
202301,130.28
202302,132.69
202303,133.86
202304,133.4
202305,137.39
202306,141.33
202307,141.2
202308,144.73
202309,147.65
202310,149.59
202311,149.88
202312,144.09
202401,146.59
202402,149.41
202403,149.7
202404,153.57
202405,156.21
202406,157.9
202407,157.86
202408,146.29
202409,143.31
202410,149.6
202411,153.82
202412,153.72
202501,156.42
202502,152.03
202503,149.14
202504,144.27
202505,144.77
202506,144.47
202507,146.85
202508,147.64
202509,147.93
202510,151.32
202511,155.08
202512,155.85
202601,156.79
202602,155.23
202603,158.64
202604,159.28
202605,158.34
202606,160.69
202607,162.45
