code,group_path,name,has_link
PRCG20_2400450010,総平均>はん用・生産用・業務用機器>はん用機器>その他のはん用機械,バルブ,True
PRCG20_2400450011,総平均>はん用・生産用・業務用機器>生産用機器>農業用機械,農業用トラクタ,True
PRCG20_2400450012,総平均>はん用・生産用・業務用機器>生産用機器>建設・鉱山機械,掘さく機,True
PRCG20_2400450013,総平均>はん用・生産用・業務用機器>生産用機器>建設・鉱山機械,建設用クレーン,True
PRCG20_2400450014,総平均>はん用・生産用・業務用機器>生産用機器>建設・鉱山機械,建設用トラクタ,True
PRCG20_2400450015,総平均>はん用・生産用・業務用機器>生産用機器>繊維機械,繊維機械,True
PRCG20_2400450016,総平均>はん用・生産用・業務用機器>生産用機器>生活関連産業用機械,印刷関連機械,True
PRCG20_2400450017,総平均>はん用・生産用・業務用機器>生産用機器>生活関連産業用機械,包装・荷造機械,True
PRCG20_2400450018,総平均>はん用・生産用・業務用機器>生産用機器>鋳造装置・プラスチック加工機械,プラスチック加工機械,True
PRCG20_2400450019,総平均>はん用・生産用・業務用機器>生産用機器>金属工作機械,旋盤,True
PRCG20_2400450020,総平均>はん用・生産用・業務用機器>生産用機器>金属工作機械,研削盤,True
PRCG20_2400450021,総平均>はん用・生産用・業務用機器>生産用機器>金属工作機械,マシニングセンタ,True
PRCG20_2400450022,総平均>はん用・生産用・業務用機器>生産用機器>金属加工機械,プレス機械,True
PRCG20_2400450023,総平均>はん用・生産用・業務用機器>生産用機器>機械工具,機械工具,True
PRCG20_2400450024,総平均>はん用・生産用・業務用機器>生産用機器>半導体製造装置,半導体製造装置（除フラットパネルディスプレイ製造装置）,True
PRCG20_2400450025,総平均>はん用・生産用・業務用機器>生産用機器>半導体製造装置,フラットパネルディスプレイ製造装置,True
PRCG20_2400450026,総平均>はん用・生産用・業務用機器>生産用機器>ロボット,ロボット,True
PRCG20_2400450027,総平均>はん用・生産用・業務用機器>業務用機器>計測機器,精密測定器,True
PRCG20_2400450028,総平均>はん用・生産用・業務用機器>業務用機器>計測機器,分析機器,True
PRCG20_2400450029,総平均>はん用・生産用・業務用機器>業務用機器>医療用機械器具,医療用機器,True
PRCG20_2400450030,総平均>はん用・生産用・業務用機器>業務用機器>光学機械・レンズ,顕微鏡・拡大鏡,True
PRCG20_2400450031,総平均>はん用・生産用・業務用機器>業務用機器>光学機械・レンズ,カメラ用交換レンズ,True
PRCG20_2400450032,総平均>はん用・生産用・業務用機器>業務用機器>光学機械・レンズ,光学レンズ,True
PRCG20_2400550001,総平均>電気・電子機器>電子部品・デバイス>半導体素子,光電変換素子,True
PRCG20_2400550002,総平均>電気・電子機器>電子部品・デバイス>半導体素子,ダイオード・整流素子,True
PRCG20_2400550003,総平均>電気・電子機器>電子部品・デバイス>半導体素子,トランジスタ,True
PRCG20_2400550004,総平均>電気・電子機器>電子部品・デバイス>集積回路,線形回路・混成集積回路,True
PRCG20_2400550005,総平均>電気・電子機器>電子部品・デバイス>集積回路,モス型集積回路（除モス型メモリ集積回路）,True
PRCG20_2400550006,総平均>電気・電子機器>電子部品・デバイス>集積回路,モス型メモリ集積回路,True
PRCG20_2400550007,総平均>電気・電子機器>電子部品・デバイス>液晶パネル,液晶パネル,True
PRCG20_2400550008,総平均>電気・電子機器>電子部品・デバイス>電子回路,プリント配線板,True
PRCG20_2400550009,総平均>電気・電子機器>電子部品・デバイス>その他の電子部品,電子機器用抵抗器,True
PRCG20_2400550010,総平均>電気・電子機器>電子部品・デバイス>その他の電子部品,電子機器用コンデンサ,True
PRCG20_2400550011,総平均>電気・電子機器>電子部品・デバイス>その他の電子部品,電子機器用変成器,True
PRCG20_2400550012,総平均>電気・電子機器>電子部品・デバイス>その他の電子部品,電子機器用コネクタ,True
PRCG20_2400550013,総平均>電気・電子機器>電子部品・デバイス>その他の電子部品,電子機器用スイッチ,True
PRCG20_2400550014,総平均>電気・電子機器>電子部品・デバイス>その他の電子部品,ユニット部品,True
PRCG20_2400550015,総平均>電気・電子機器>電子部品・デバイス>その他の電子部品,水晶振動子,True
PRCG20_2400550016,総平均>電気・電子機器>電子部品・デバイス>その他の電子部品,シリコンウエハ,True
PRCG20_2400550017,総平均>電気・電子機器>電子部品・デバイス>その他の電子部品,圧電機能素子・フィルタ,True
PRCG20_2400550018,総平均>電気・電子機器>電子部品・デバイス>その他の電子部品,センサデバイス,False
PRCG20_2400550019,総平均>電気・電子機器>電気機器>回転電気機械,発電機,True
PRCG20_2400550020,総平均>電気・電子機器>電気機器>回転電気機械,電動機,True
PRCG20_2400550021,総平均>電気・電子機器>電気機器>配線器具,配線器具,True
PRCG20_2400550022,総平均>電気・電子機器>電気機器>内燃機関電装品,充電発電機,True
PRCG20_2400550023,総平均>電気・電子機器>電気機器>内燃機関電装品,始動電動機,True
PRCG20_2400550024,総平均>電気・電子機器>電気機器>内燃機関電装品,点火プラグ,True
PRCG20_2400550025,総平均>電気・電子機器>電気機器>その他の産業用電気機器,電気溶接機,True
PRCG20_2400550026,総平均>電気・電子機器>電気機器>その他の産業用電気機器,電力変換装置,True
PRCG20_2400550027,総平均>電気・電子機器>電気機器>民生用電気機器,民生用電気機器,True
PRCG20_2400550028,総平均>電気・電子機器>電気機器>電子応用装置,Ｘ線装置・医療用電子応用装置,True
PRCG20_2400550029,総平均>電気・電子機器>電気機器>電気計測器,電気測定器,True
PRCG20_2400550030,総平均>電気・電子機器>電気機器>電気計測器,半導体・ＩＣ測定器,True
