code,group_path,name,has_link
PRCG20_1200950020,工業製品>鉄鋼>鋼材>めっき鋼材,ブリキ・クロムめっき鋼板,True
PRCG20_1200950021,工業製品>鉄鋼>鋳鍛造品>鋳鍛鋼・鋳鉄品・鍛工品,鍛造品,True
PRCG20_1200950022,工業製品>鉄鋼>鋳鍛造品>鋳鍛鋼・鋳鉄品・鍛工品,機械用銑鉄鋳物,True
PRCG20_1200950023,工業製品>鉄鋼>鋳鍛造品>鋳鉄管,鋳鉄管,True
PRCG20_1200950024,工業製品>鉄鋼>その他鉄鋼製品>鉄鋼シャースリット,鉄鋼シャースリット,True
PRCG20_1201050001,工業製品>非鉄金属>非鉄金属製錬・精製>銅,銅,True
PRCG20_1201050002,工業製品>非鉄金属>非鉄金属製錬・精製>鉛・亜鉛,鉛地金・はんだ・減摩合金,False
PRCG20_1201050003,工業製品>非鉄金属>非鉄金属製錬・精製>アルミニウム,アルミニウム合金・同二次合金地金,True
PRCG20_1201050004,工業製品>非鉄金属>非鉄金属製錬・精製>その他の非鉄金属地金,金地金,True
PRCG20_1201050005,工業製品>非鉄金属>非鉄金属製錬・精製>その他の非鉄金属地金,銀地金,True
PRCG20_1201050006,工業製品>非鉄金属>非鉄金属加工製品>電線・ケーブル,銅荒引線,True
PRCG20_1201050007,工業製品>非鉄金属>非鉄金属加工製品>電線・ケーブル,銅裸線,True
PRCG20_1201050008,工業製品>非鉄金属>非鉄金属加工製品>電線・ケーブル,プラスチック被覆銅線,True
PRCG20_1201050009,工業製品>非鉄金属>非鉄金属加工製品>電線・ケーブル,銅巻線,True
PRCG20_1201050010,工業製品>非鉄金属>非鉄金属加工製品>電線・ケーブル,電力・通信用メタルケーブル,True
PRCG20_1201050011,工業製品>非鉄金属>非鉄金属加工製品>伸銅品,銅伸銅品,True
PRCG20_1201050012,工業製品>非鉄金属>非鉄金属加工製品>伸銅品,黄銅伸銅品,True
PRCG20_1201050013,工業製品>非鉄金属>非鉄金属加工製品>アルミ圧延製品,アルミ圧延製品,True
PRCG20_1201050014,工業製品>非鉄金属>非鉄金属加工製品>非鉄金属素形材,銅・アルミニウム鋳物,True
PRCG20_1201050015,工業製品>非鉄金属>非鉄金属加工製品>非鉄金属素形材,アルミニウム合金ダイカスト,True
PRCG20_1201050016,工業製品>非鉄金属>非鉄金属加工製品>非鉄金属素形材,アルミニウム鍛造品,True
PRCG20_1201050017,工業製品>非鉄金属>非鉄金属加工製品>その他の非鉄金属製品,貴金属展伸材,True
PRCG20_1201150001,工業製品>金属製品>建設用・建築用金属製品>建設用金属製品,鉄骨,True
PRCG20_1201150002,工業製品>金属製品>建設用・建築用金属製品>建設用金属製品,橋りょう,True
PRCG20_1201150003,工業製品>金属製品>建設用・建築用金属製品>建築用金属製品,アルミニウムサッシ,True
PRCG20_1201150004,工業製品>金属製品>建設用・建築用金属製品>建築用金属製品,金属製サッシ・ドア（除アルミニウムサッシ）,False
PRCG20_1201150005,工業製品>金属製品>建設用・建築用金属製品>建築用金属製品,シャッター,True
PRCG20_1201150006,工業製品>金属製品>建設用・建築用金属製品>建築用金属製品,建築用板金製品,True
PRCG20_1201150007,工業製品>金属製品>その他金属製品>ガス・石油機器・暖房・調理装置,ガス暖房・調理装置,True
PRCG20_1201150008,工業製品>金属製品>その他金属製品>ガス・石油機器・暖房・調理装置,石油暖房装置,True
PRCG20_1201150009,工業製品>金属製品>その他金属製品>ボルト・ナット・リベット・スプリング,ばね,True
PRCG20_1201150010,工業製品>金属製品>その他金属製品>ボルト・ナット・リベット・スプリング,ボルト・ナット,True
PRCG20_1201150011,工業製品>金属製品>その他金属製品>金属製容器・製缶板金製品,18リットル缶,True
PRCG20_1201150012,工業製品>金属製品>その他金属製品>金属製容器・製缶板金製品,食缶,True
PRCG20_1201150013,工業製品>金属製品>その他金属製品>金属製容器・製缶板金製品,ボンベ,True
PRCG20_1201150014,工業製品>金属製品>その他金属製品>金属製容器・製缶板金製品,ドラム缶,True
PRCG20_1201150015,工業製品>金属製品>その他金属製品>配管工事附属品・粉末や金製品・道具類,刃物・道具類,False
PRCG20_1201150016,工業製品>金属製品>その他金属製品>配管工事附属品・粉末や金製品・道具類,金属製管継手,True
PRCG20_1201150017,工業製品>金属製品>その他金属製品>配管工事附属品・粉末や金製品・道具類,配管工事用附属品,True
